Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Down_PARAM_P10_22,DB11.DBW902,Word,1,R/W,100,,,,,,,,,,St.22-Maxmum press fit level,
Down_PARAM_P10_24,DB11.DBW982,Word,1,R/W,100,,,,,,,,,,St.24-Maxmum press fit level,
Down_PARAM_P10_25,DB11.DBW1022,Word,1,R/W,100,,,,,,,,,,Station 25-Force for riveting approach,
Down_PARAM_P11_25,DB11.DBW1024,Word,1,R/W,100,,,,,,,,,,Station 25-Nominal preload force,
Down_PARAM_P12_25,DB11.DBW1026,Word,1,R/W,100,,,,,,,,,,Station 25-Nominal riveting force,
Down_PARAM_P3_18,DB11.DBW728,Word,1,R/W,100,,,,,,,,,,Station 18- Minimun level,
Down_PARAM_P4_18,DB11.DBW730,Word,1,R/W,100,,,,,,,,,,Station 18- Maxmun level,
Down_PARAM_P5_18,DB11.DBW732,Word,1,R/W,100,,,,,,,,,,St.18-Diff. with st.13 0=YES 1=NO,
Down_PARAM_P5_25,DB11.DBW1012,Word,1,R/W,100,,,,,,,,,,Station 25-Minimum preload force,
Down_PARAM_P6_18,DB11.DBW734,Word,1,R/W,100,,,,,,,,,,St.18-Camera proogeam number,
Down_PARAM_P6_22,DB11.DBW894,Word,1,R/W,100,,,,,,,,,,St.22-Rivet height,
Down_PARAM_P6_24,DB11.DBW974,Word,1,R/W,100,,,,,,,,,,St.24-Rivet height,
Down_PARAM_P6_25,DB11.DBW1014,Word,1,R/W,100,,,,,,,,,,Station 25-Maxmum preload force,
Down_PARAM_P7_22,DB11.DBW896,Word,1,R/W,100,,,,,,,,,,St.22-Rivet height tolerance,
Down_PARAM_P7_24,DB11.DBW976,Word,1,R/W,100,,,,,,,,,,St.24-Rivet height tolerance,
Down_PARAM_P7_25,DB11.DBW1016,Word,1,R/W,100,,,,,,,,,,Station 25-Minimum riveting force,
Down_PARAM_P8_25,DB11.DBW1018,Word,1,R/W,100,,,,,,,,,,Station 25-Maxmum riveting force,
Down_PARAM_P9_22,DB11.DBW900,Word,1,R/W,100,,,,,,,,,,St.22-Minimum press fit level,
Down_PARAM_P9_24,DB11.DBW980,Word,1,R/W,100,,,,,,,,,,St.24-Minimum press fit level,
Down_PARAM_P9_25,DB11.DBW1020,Word,1,R/W,100,,,,,,,,,,Station 25-Force for preload force,
Down_Param_part_number,DB11.DBD2604,DWord,1,R/W,100,,,,,,,,,,Part number,
Down_Param_part_number_rivet,DB11.DBD2608,DWord,1,R/W,100,,,,,,,,,,Part number Rivet,
,,,,,,,,,,,,,,,,
Down_DATA_READY,DB110.DBX0.0,Boolean,1,R/W,100,,,,,,,,,,Handshake signal,
Up_Date_Stamp,DB110.STRING32.10,String,1,RO,100,,,,,,,,,,Date - 20YY-MM-GG,
Up_FREE_1,DB110.DBW90,Word,1,RO,100,,,,,,,,,,,
Up_FREE_2,DB110.DBW94,Word,1,RO,100,,,,,,,,,,,
Up_FREE_3,DB110.DBW98,Word,1,RO,100,,,,,,,,,,,
Up_FREE_4,DB110.DBW102,Word,1,RO,100,,,,,,,,,,,
Up_FREE_5,DB110.DBW106,Word,1,RO,100,,,,,,,,,,,
Up_FREE_6,DB110.DBW110,Word,1,RO,100,,,,,,,,,,,
Up_FREE_7,DB110.DBW114,Word,1,RO,100,,,,,,,,,,,
Up_FREE_8,DB110.DBW118,Word,1,RO,100,,,,,,,,,,,
Up_Hight_DSM_13,DB110.DBW54,Word,1,RO,100,,,,,,,,,,St.13 - Discs level,
Up_Hight_DSM_18,DB110.DBW58,Word,1,RO,100,,,,,,,,,,St.18 - Discs level,
Up_ID_MACHINE,DB110.STRING2.20,String,1,RO,100,,,,,,,,,,,
Up_IN_BATCH_NUMBER,DB110.DBD28,DWord,1,RO,100,,,,,,,,,,Actual batch number,
Up_occuped,DB110.DBW86,Word,1,RO,100,,,,,,,,,,St.13 -,
Up_PART_NUMBER,DB110.DBD24,DWord,1,RO,100,,,,,,,,,,Bwi part number,
Up_preload_25,DB110.DBW78,Word,1,RO,100,,,,,,,,,,St.25 - Preload force,
Up_result_FREE_1,DB110.DBB92,Byte,1,RO,100,,,,,,,,,,,
Up_result_FREE_2,DB110.DBB96,Byte,1,RO,100,,,,,,,,,,,
Up_result_FREE_3,DB110.DBB100,Byte,1,RO,100,,,,,,,,,,,
Up_result_FREE_4,DB110.DBB104,Byte,1,RO,100,,,,,,,,,,,
Up_result_FREE_5,DB110.DBB108,Byte,1,RO,100,,,,,,,,,,,
Up_result_FREE_6,DB110.DBB112,Byte,1,RO,100,,,,,,,,,,,
Up_result_FREE_7,DB110.DBB116,Byte,1,RO,100,,,,,,,,,,,
Up_result_FREE_8,DB110.DBB120,Byte,1,RO,100,,,,,,,,,,,
Up_result_hight_DSM_13,DB110.DBB56,Byte,1,RO,100,,,,,,,,,,St.13 - Measure disc level result. 0: Scrap 1: Good 255: Not Ready,
Up_result_hight_DSM_18,DB110.DBB60,Byte,1,RO,100,,,,,,,,,,St.18 - Measure disc level result. 0: Scrap 1: Good 255: Not Ready,
Up_result_preload_25,DB110.DBB80,Byte,1,RO,100,,,,,,,,,,St.25 - Preload force result. 0: Scrap 1: Good 255: Not Ready,
Up_result_rivet_insertion_22,DB110.DBB68,Byte,1,RO,100,,,,,,,,,,St.22 - Press fit level result. 0: Scrap 1: Good 255: Not Ready,
Up_result_rivet_insertion_24,DB110.DBB76,Byte,1,RO,100,,,,,,,,,,St.24 - Press fit level result. 0: Scrap 1: Good 255: Not Ready,
Up_result_rivet_lenght_22,DB110.DBB64,Byte,1,RO,100,,,,,,,,,,St.22 - Rivet height result. 0: Scrap 1: Good 255: Not Ready,
Up_result_rivet_lenght_24,DB110.DBB72,Byte,1,RO,100,,,,,,,,,,St.24 - Rivet height result. 0: Scrap 1: Good 255: Not Ready,
Up_rivet_insertion_22,DB110.DBW66,Word,1,RO,100,,,,,,,,,,St.22 - Press fit level,
Up_rivet_insertion_24,DB110.DBW74,Word,1,RO,100,,,,,,,,,,St.24 - Press fit level,
Up_rivet_lenght_22,DB110.DBW62,Word,1,RO,100,,,,,,,,,,St.22 - Rivet height,
Up_rivet_lenght_24,DB110.DBW70,Word,1,RO,100,,,,,,,,,,St.24 - Rivet height,
Up_riveting_25,DB110.DBW82,Word,1,RO,100,,,,,,,,,,St.25 - Riveting force,
Up_rsult_camera_18,DB110.DBB88,Byte,1,RO,100,,,,,,,,,,St.18 - Vision result. 0: Scrap 1: Good 255: Not Ready,
Up_rsult_riveting_25,DB110.DBB84,Byte,1,RO,100,,,,,,,,,,St.25 - Riveting force result. 0: Scrap 1: Good 255: Not Ready,
Up_Time_Stamp,DB110.STRING44.8,String,1,RO,100,,,,,,,,,,Time - HH-MM-SS,
,,,,,,,,,,,,,,,,
Up_AUTO_MODE_SELECTED,DB1003.DBX0.4,Boolean,1,RO,100,,,,,,,,,,,
Up_MANUAL_MODE _SELECTED,DB1003.DBX0.5,Boolean,1,RO,100,,,,,,,,,,,
Up_MACHINE_FREE,DB1003.DBX0.1,Boolean,1,RO,100,,,,,,,,,,,
Up_MACHINE_CONTROLLED_BY_HMI,DB1003.DBX0.0,Boolean,1,RO,100,,,,,,,,,,,
Down_MACHINE_CONTROLLED_BY_CONSOLE,DB1003.DBX0.2,Boolean,1,R/W,100,,,,,,,,,,,
Up_CONTROLLED_BY_CONSOLE_ACK,DB1003.DBX0.3,Boolean,1,RO,100,,,,,,,,,,,
Up_RECIPE_SELECTED,DB1001.DBW0,Word,1,RO,100,,,,,,,,,,,
Up_RECIPE_RUNNING,DB1001.DBW4,Word,1,RO,100,,,,,,,,,,,
Up_SAVE_CLICKED,DB1001.DBX2.0,Boolean,1,RO,100,,,,,,,,,,,
Up_NEW_RECIPE_CLICKED,DB1001.DBB6.1,Boolean,1,RO,100,,,,,,,,,,,
Up_USER_NAME,DB10000.STRING516.200,String,1,RO,100,,,,,,,,,,,
