Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Down_COMPOS_01,DB10.DBX14.7,Boolean,1,R/W,100,,,,,,,,,,Station 1-Included(1)/Excluded(0),
Down_COMPOS_02,DB10.DBX14.6,Boolean,1,R/W,100,,,,,,,,,,Station 2-Included(1)/Excluded(0),
Down_COMPOS_03,DB10.DBX14.5,Boolean,1,R/W,100,,,,,,,,,,Station 3-Included(1)/Excluded(0),
Down_COMPOS_04,DB10.DBX14.4,Boolean,1,R/W,100,,,,,,,,,,Station 4-Included(1)/Excluded(0),
Down_COMPOS_05,DB10.DBX14.3,Boolean,1,R/W,100,,,,,,,,,,Station 5-Included(1)/Excluded(0),
Down_COMPOS_06,DB10.DBX14.2,Boolean,1,R/W,100,,,,,,,,,,Station 6-Included(1)/Excluded(0),
Down_COMPOS_07,DB10.DBX14.1,Boolean,1,R/W,100,,,,,,,,,,Station 7-Included(1)/Excluded(0),
Down_COMPOS_08,DB10.DBX14.0,Boolean,1,R/W,100,,,,,,,,,,Station 8-Included(1)/Excluded(0),
Down_COMPOS_09,DB10.DBX15.7,Boolean,1,R/W,100,,,,,,,,,,Station 9-Included(1)/Excluded(0),
Down_COMPOS_10,DB10.DBX15.6,Boolean,1,R/W,100,,,,,,,,,,Station 10-Included(1)/Excluded(0),
Down_COMPOS_11,DB10.DBX15.5,Boolean,1,R/W,100,,,,,,,,,,Station 11-Included(1)/Excluded(0),
Down_COMPOS_12,DB10.DBX15.4,Boolean,1,R/W,100,,,,,,,,,,Station 12-Included(1)/Excluded(0),
Down_COMPOS_13,DB10.DBX15.3,Boolean,1,R/W,100,,,,,,,,,,Station 13-Included(1)/Excluded(0),
Down_COMPOS_14,DB10.DBX15.2,Boolean,1,R/W,100,,,,,,,,,,Station 14-Included(1)/Excluded(0),
Down_COMPOS_16,DB10.DBX15.0,Boolean,1,R/W,100,,,,,,,,,,Station 16-Included(1)/Excluded(0),
Down_COMPOS_17,DB10.DBX16.7,Boolean,1,R/W,100,,,,,,,,,,Station 17-Included(1)/Excluded(0),
Down_COMPOS_18,DB10.DBX16.6,Boolean,1,R/W,100,,,,,,,,,,Station 18-Included(1)/Excluded(0),
Down_COMPOS_19,DB10.DBX16.5,Boolean,1,R/W,100,,,,,,,,,,Station 19-Included(1)/Excluded(0),
Down_COMPOS_20,DB10.DBX16.4,Boolean,1,R/W,100,,,,,,,,,,Station 20-Included(1)/Excluded(0),
Down_COMPOS_21,DB10.DBX16.3,Boolean,1,R/W,100,,,,,,,,,,Station 21-Included(1)/Excluded(0),
Down_COMPOS_22,DB10.DBX16.2,Boolean,1,R/W,100,,,,,,,,,,Station 22-Included(1)/Excluded(0),
Down_DB11 - PARAM_P17_16,DB11.DBW676,Word,1,R/W,100,,,,,,,,,,Minmun sizing force-St.16,
Down_DB11 - PARAM_P18_16,DB11.DBW678,Word,1,R/W,100,,,,,,,,,,Maxmun sizing force-St.16,
Down_DB11 - PARAM_P19_16,DB11.DBW680,Word,1,R/W,100,,,,,,,,,,Stopping time for sizing -St.16,
Down_DB11 - PARAM_P21_16,DB11.DBW1084,Word,1,R/W,100,,,,,,,,,,Sizing force-St.16,
Down_DB11 - PARAM_P22_16,DB11.DBW1086,Word,1,R/W,100,,,,,,,,,,Piece height check force-St.16,
Down_DB11 - PARAM_P25_16,DB11.DBW1092,Word,1,R/W,100,,,,,,,,,,%Power reduction,
Down_DB11 - PARAM_P5_0,DB11.DBW12,Word,1,R/W,100,,,,,,,,,,Diameter being processed   ,
Down_DB41 - TAG_CODE_ST16_CODICE_TOOL_INFERIORE_HMI,DB41.STRING0.200,String,1,R/W,100,,,,,,,,,,Lower tool code-St.16,
Down_DB41 - TAG_CODE_ST16_CODICE_TOOL_SUPERIORE_HMI,DB41.STRING256.200,String,1,R/W,100,,,,,,,,,,Upper tool code-St.16,
Down_PARAM_P1_21,DB11.DBW844,Word,1,R/W,100,,,,,,,,,,N. tool-St.21,
Down_PARAM_P1_7,DB11.DBW284,Word,1,R/W,100,,,,,,,,,,N. tool-St.07,
Down_PARAM_P10_0,DB11.DBW22,Word,1,R/W,100,,,,,,,,,,Cameras Master 0:Excluded 1:Included,
Down_PARAM_P10_19,DB11.DBW782,Word,1,R/W,100,,,,,,,,,,Spacer level tolerance-St.19,
Down_PARAM_P10_22,DB11.DBW902,Word,1,R/W,100,,,,,,,,,,Spacer level tolerance-St.22,
Down_PARAM_P11_0,DB11.DBW24,Word,1,R/W,100,,,,,,,,,,N. ctr pc msater cameras St.17-20,
Down_PARAM_P17_0,DB11.DBD36,DWord,1,R/W,100,,,,,,,,,,Part number intake retainer,
Down_PARAM_P19_0,DB11.DBD40,DWord,1,R/W,100,,,,,,,,,,Part number,
Down_PARAM_P2_17,DB11.DBW686,Word,1,R/W,100,,,,,,,,,,Rebond discs min level-St.17,
Down_PARAM_P2_9,DB11.DBW366,Word,1,R/W,100,,,,,,,,,,Rebond discs min level-St.09,
Down_PARAM_P3_17,DB11.DBW688,Word,1,R/W,100,,,,,,,,,,Rebond discs max level-St.17,
Down_PARAM_P3_9,DB11.DBW368,Word,1,R/W,100,,,,,,,,,,Rebond discs max level-St.09,
Down_PARAM_P4_0,DB11.DBW10,Word,1,R/W,100,,,,,,,,,,Operator confirmation 0:Joystick 1:Pedal,
Down_PARAM_P4_17,DB11.DBW690,Word,1,R/W,100,,,,,,,,,,Compression discs min level-St.17,
Down_PARAM_P4_7,DB11.DBW290,Word,1,R/W,100,,,,,,,,,,Pallet centering on tablet-St.07,
Down_PARAM_P4_9,DB11.DBW370,Word,1,R/W,100,,,,,,,,,,Compression discs min level-St.09,
Down_PARAM_P5_1,DB11.DBW52,Word,1,R/W,100,,,,,,,,,,N.Rebond discs to load-St.01,
Down_PARAM_P5_10,DB11.DBW412,Word,1,R/W,100,,,,,,,,,,N.Rebond discs to load-St.10,
Down_PARAM_P5_11,DB11.DBW452,Word,1,R/W,100,,,,,,,,,,N.Rebond discs to load-St.11,
Down_PARAM_P5_12,DB11.DBW492,Word,1,R/W,100,,,,,,,,,,N.Rebond discs to load-St.12,
Down_PARAM_P5_13,DB11.DBW532,Word,1,R/W,100,,,,,,,,,,N.Rebond discs to load-St.13,
Down_PARAM_P5_14,DB11.DBW572,Word,1,R/W,100,,,,,,,,,,N.Rebond discs to load-St.14,
Down_PARAM_P5_16,DB11.DBW652,Word,1,R/W,100,,,,,,,,,,Max sizing level-St.16,
Down_PARAM_P5_17,DB11.DBW692,Word,1,R/W,100,,,,,,,,,,Compression discs max level-St.17,
